189,264,211,264,208,288,185,288 李
213,264,234,264,232,287,211,287 少
234,263,255,263,254,288,232,288 白
184,301,208,301,205,323,181,323 小
207,301,230,301,228,324,204,324 公
231,300,256,300,255,326,228,326 鸡
254,299,282,299,282,325,253,325 决
284,299,309,299,310,327,284,327 定
309,300,334,300,335,325,309,325 去
333,300,361,300,363,327,334,327 找
361,302,387,302,390,324,363,324 大
388,301,412,301,415,324,391,324 公
412,300,438,300,442,326,415,326 鸡
439,320,446,320,446,325,440,325 。
48,19,78,19,89,42,60,42 我
78,19,107,19,116,42,89,42 知
106,19,137,19,144,41,115,41 道
144,34,151,34,153,40,146,40 ，
145,19,174,19,180,42,153,42 是
174,19,204,19,208,42,180,42 学
205,21,230,21,233,41,209,41 习
233,34,241,34,242,40,234,40 。
91,47,120,47,128,67,100,67 矮
120,47,148,47,155,67,128,67 猴
150,48,176,48,181,67,156,67 兄
174,47,201,47,205,67,180,67 弟
246,17,281,17,282,45,249,45 母
277,31,312,31,311,55,279,55 亲
313,36,342,36,340,62,312,62 说
345,56,353,56,353,63,344,63 ，
355,44,384,44,380,66,352,66 我
385,52,412,52,407,71,381,71 也
414,45,443,45,437,65,410,65 不
447,41,477,41,469,63,440,63 知
476,35,512,35,500,59,467,59 道
511,41,524,41,520,51,507,51 。
