78,132,126,130,118,173,69,174 哦
126,157,145,157,143,175,123,175 。
429,151,471,154,482,190,438,186 你
475,156,516,160,529,195,486,192 知
521,164,563,167,577,201,534,198 道
576,190,588,191,593,202,581,202 。
307,81,360,81,360,132,307,132 你
364,81,411,81,411,134,364,134 胡
411,86,469,86,469,134,411,134 说
477,121,494,121,494,138,477,138 。
17,33,77,33,77,90,17,90 叫
79,40,136,40,136,96,79,96 哥
138,36,194,36,194,91,138,91 哥
198,68,217,68,217,117,198,117 （
196,78,250,78,250,114,196,114 冰
431,42,474,42,474,88,431,88 很
475,42,521,42,521,87,475,87 好
524,49,574,49,574,85,524,85 啊
573,76,586,76,586,88,573,88 。
41,1,62,1,62,42,41,42 （
38,1,89,1,89,44,38,44 冰
