151,19,160,19,160,27,151,27 “
141,18,172,18,172,45,141,45 猫
171,19,199,19,199,44,171,44 兄
199,18,227,18,227,46,199,46 弟
230,36,237,36,237,46,230,46 ，
236,18,264,18,264,46,236,46 你
262,17,293,17,293,45,262,45 好
298,22,305,22,305,42,298,42 ！
306,19,315,19,315,27,306,27 ”
309,17,339,17,339,45,309,45 鹅
339,20,368,20,368,44,339,44 跟
368,19,395,19,395,43,368,43 上
398,19,424,19,424,45,398,45 去
422,35,433,35,433,45,422,45 。
179,52,207,52,207,79,179,79 故
207,52,236,52,236,80,207,80 事
235,52,264,52,264,79,235,79 发
264,52,291,52,291,77,264,77 生
291,52,321,52,321,79,291,79 在
325,55,334,55,334,76,325,76 1
329,55,347,55,347,77,329,77 8
347,55,365,55,365,77,347,77 8
365,55,383,55,383,76,365,76 2
