143,67,172,71,184,91,157,87 舍
175,73,200,76,210,95,187,91 己
199,76,224,79,235,99,210,96 为
225,80,250,83,259,102,235,99 人
163,93,188,98,199,115,175,111 晚
190,99,215,103,224,119,200,114 上
223,115,230,116,233,121,226,120 ，
221,104,249,108,257,125,231,121 小
248,107,278,112,285,130,257,125 珞
278,112,308,117,314,134,285,129 嘉
309,117,341,123,345,140,314,135 请
341,122,374,128,376,146,345,140 求
374,128,407,133,408,151,376,146 菡
407,133,441,139,440,156,407,151 子
440,139,478,145,474,163,439,156 阿
478,144,517,151,510,169,474,163 姨
517,151,557,158,549,175,512,168 说
557,165,567,167,562,176,552,175 ：
